;Gender;M
;Season;(Višestruke stavke)
;FAI rank;(Višestruke stavke)
;FAI Licence Validation;(Višestruke stavke)

;WALAR score points;Competitions
;Competitor;2021 Dubai IPC;2021 WPC;2022 EEAC BiH;2022 WPC;2023 Dolomiti Cup;2023 Dubai IPC;2023 EEAC BiH;2023 EEAC Bulgaria;2023 EPC;2023 NC Austria;2023 SWCS Austria;2023 SWCS Italy;2023 SWCS UAE;2023 World Cup;2024 Dubai IPC;2024 EEAC BiH;2024 Poreč IPC;2024 SWCS Austria;2024 SWCS Czech R.;2024 SWCS Italy;2024 WPC;2025 Poreč IPC;2025 SWCS Czech R.;2025 EPC;2025 SWCS Italy;2025 SWCS Austria;2025 Asian PC;2025 World Cup;Total
46;Petr Směšný | Czech Republic;;;;;;;;;;;180;220;140;;;;;550;270;320;;;100;;270;0;;;2050
47;Michael Urban | Austria;;;;0;;50;;;180;1;120;87;0;160;120;;50;220;2;51;11;;68;150;64;110;;500;1944
48;Daniele Bianchi | Italy;48;;;;15;;;;57;330;69;50;140;17;160;;;;270;150;190;;;;160;270;;;1926
49;Miguel Antonio Gomez Rivas | Espana;75;;;230;;130;;;;;;;;;230;;;;;20;550;;150;320;;;;150;1855
50;Jakub Pavlicek | Czech Republic;;;;;;270;;;120;;55;370;100;90;;;;450;100;10;;;30;;77;180;;;1852
51;Lukas Zwicker | Switzerland;;;;;5;47;;;85;;120;87;100;55;;;;150;5;5;220;;30;90;800;2;;;1801
52;Marco Pizziconi | Italy;120;;;;180;;;;;57;250;500;;;;;;180;55;120;;;;;160;160;;;1782
53;Georges Toth | Switzerland;;;;1250;;;;;;;55;;400;;;;;24;;;;;;;;0;;;1729
54;Joachim Knauss | Austria;;;;0;;2;;;210;0;20;0;0;180;190;;170;2;21;20;0;220;270;220;77;4;;90;1696
55;Fabio Filippini | Italy;;;;;600;;;;;;120;87;57;;;;;270;180;51;;170;;;160;0;;;1695
56;Matej Bečan | Slovenia;;320;;1100;;;;;;;6;73;180;;;;;;;;;;;;;15;;;1694
57;Manuel Sulzbacher | Austria;;73;;0;;0;;;;36;320;140;9;;450;;;0;180;150;150;;20;70;10;0;;65;1673
58;Samuel Wallrath | Germany;;;;;;;;;;;;;;;;;;24;180;150;110;;65;150;350;550;;84;1663
59;Romas Šmigelskis | Lithuania;;;;0;70;;;;210;;;370;;180;;;;130;130;20;6;;85;150;270;0;;;1621
60;Daniele Garozzo | Italy;;;;;130;;;;;;;140;650;;;;;220;0;190;;;;;270;;;;1600
61;Dmitry Maximov | Russia;950;620;;;;;;;;;;;;;;;;;;;;;;;;;;;1570
62;Saleh Al Abidi | Qatar;;;;17;34;;;;;;20;0;;270;;;;49;180;320;150;;100;;52;130;205;40;1567
63;Roman Karun | Slovenia;;;;400;;;;;;;;61;;;;;;;;;;;;;;1100;;;1561
64;Peter Gogos | Hungary;15;;;60;;;;;110;;120;500;;80;400;;;15;12;5;;;170;;52;22;;;1561
65;Ferenc Péter Horváth | Hungary;;;;;;;;;5;;10;61;;0;160;;;;60;750;190;;15;50;200;60;;;1561
66;Ondřej Žák | Czech Republic;500;;;;;;;;;;40;100;5;;;;;350;180;240;;;50;;52;2;;;1519
67;Mathias Demmler | Germany;;;;30;;;;;400;;0;370;120;320;;;;;100;150;;;;;;;;;1490
68;Hamad Shajea | Qatar;;;120;;217;;;;;;55;0;;;;;130;350;22;190;;85;65;;200;2;;53;1489
69;Ivaylo Delev | Austria;;180;;290;;;;;;120;250;50;;;;;;24;0;400;;;1;;0;160;;;1475
70;Libor Jirousek | Czech Republic;46;440;;;;;;;;;120;280;57;;520;;;;;;;;;;;;;;1463
71;Marcel Schuster | Switzerland;;;;4;;;;;;;120;30;320;;;;;180;;;;;;;;800;;;1454
72;Oldřich Zbíral | Czech Republic;;;;13;;;;;85;;10;1;0;55;;;;2;850;30;7;;61;;64;270;;;1448
73;Stefano Corradini | Italy;230;;;;85;;;;;;;20;;;;;250;;;190;550;44;;;64;;;;1433
74;Yahui Zeng | China;;;;;;;;;;;;;;400;;;;;;;700;;;;;;258;66;1424
75;Christian Molto Gonzalez | Espana;1150;;;210;;5;;;;;;;;;;;;;;;;;;;;;;;1365
76;Peter Balta | Slovenia;;130;;220;;;;;;;320;280;230;;;;;;;;;;;;;180;;;1360
77;Abdulrahman Alblooshi | UAE;;;;;;;;;;;;;;;;;;;;;;70;;;;;700;550;1320
78;Torben Glud | Denmark;;73;;180;;;;;;;180;140;2;;;;;49;28;;550;;50;;30;4;;;1286
79;Daniele Viel | Italy;;;;;;;;;;;69;280;57;;160;;;270;270;120;;20;;;40;0;;;1286
80;Thomas Schneider | Germany;120;;;;;;;;;;30;4;;;340;;;270;4;320;;;64;;20;100;;;1272
81;Nandor Toth | Hungary;;;84;;;;215;140;;;;280;;;26;400;;;0;10;;33;;;20;;;;1208
82;René Sølbeck Hansen | Denmark;;107;;600;;;;;;;250;4;120;;;;;0;0;;7;;30;;6;60;;;1184
83;Robert Juriš | Slovakia;;;;;;;;;;;;;;;;;;;0;;800;;110;210;64;;;;1184
84;Christian Kautzmann | Germany;150;;;;;;;;210;;55;100;400;180;;;;;40;40;;;;;;;;;1175
85;Rafał Zgierski | Poland;;;;;;;;;250;;;;;200;;;;;;;700;;9;;10;;;;1169
86;Michael Burmester | Denmark;;130;;400;;;;;;;250;9;75;;;;;0;15;;36;;140;;89;7;;;1151
87;Fabio Fornallaz | Switzerland;;;;600;;;;;;;55;;230;;;;;90;;;;;;;;160;;;1135
88;James Hayhurst | USA;190;107;;290;;69;;;;;;87;8;;;;;24;;0;350;;;;0;;;;1125
89;GaoQi Wei | China;;;;;;;;;;;;;;110;;;;;;;150;;;;;;520;320;1100
90;Sascha Lasotta | Germany;130;;;;;;;;;;250;;160;;;;;150;;;;;;;110;270;;;1070
91;Draško Lajić | BiH;;;450;;;67;90;370;20;;7;0;0;6;;;;0;;20;;;;;40;;;;1070
92;Asad Al Blooshi | UAE;47;;;;;;;;;0;;;;;;;750;;;;;;;;;;204;52;1053
93;Jimmy Drummond | USA;170;;;17;;110;;;;;;87;320;;26;;;;;;270;;;;;;;;1000
94;Radoi George | Romania;;;;1;;;;;500;;9;;;400;;;;;;10;60;;1;9;7;;;;997
95;Bence Hirschler | Hungary;;;;13;;;;;;;55;7;;;39;;;130;15;78;;;180;400;52;0;;;969
96;Alain Grätzer | Switzerland;27;;;;59;;;;;;30;4;;;;;370;7;80;66;;130;170;;9;15;;;967
97;Jean Vignuales | France;;620;;290;;;;;;;;40;;;;;;;;;;;;;;;;;950
98;Azat Pesiaev | Russia;190;750;;;;;;;;;;;;;;;;;;;;;;;;;;;940
99;MingYu Jia | China;;;;;;;;;;;;;;;;;;;;;900;;;;;;;;900
100;Les Carroll | Great Britain;3;;;19;;;;;110;;8;50;320;80;;;;9;0;0;220;;7;39;20;0;;;885
101;Remy Balaud | France;;;;;;;;;;;;500;;;;;;130;0;;;;140;;;80;;;850
102;Uroš Grlic | Slovenia;;260;;;;;;;;;180;0;400;;;;;;;;;;;;;4;;;844
103;Boban Ivetić | BiH;;;130;0;;160;60;;;;3;0;100;;;102;;15;;;;;67;180;;0;;;817
104;Petr Chládek sen | Czech Republic;;;;;;16;;;;;55;0;650;;;;;0;80;9;;;;;;;;;810
105;Alexandru Nicolau | Romania;;;;;;;;;320;;;;;220;;;;;;150;110;;;;;;;;800
106;Pavel Jankovič | Slovakia;;;;;;;;;;;;;;;;;;;0;;0;;190;600;7;;;;797
107;Juozas Kriščiūnas | Lithuania;;107;;0;90;;;;110;;;;;80;;;;;;6;180;;66;150;;;;;789
108;Claudio Dascanio | Italy;;;;;120;;;;;25;180;2;15;;;;;130;2;190;;;;;77;0;;;741
109;Matej Kostanjevec | Slovenia;;;;30;;;;;;;120;170;230;;;;;;;;;;;;;180;;;730
110;Niccolo Lorenzo Cardelli | Italy;;;;;210;;;;;;69;30;45;;;;;60;10;1;;57;;;200;0;;;682
111;Nedjeljko Brdar | Croatia;;;;;33;;370;;;;7;3;;;;;;;;66;0;;68;130;5;;;;682
112;Milan Kocík | Slovakia;;;;19;;;;;;;250;;;;;;;;13;;350;;15;23;10;;;;680
113;Jan Mach | Poland;0;;71;;7;;106;;20;;0;140;;6;;70;;210;45;2;0;;0;;0;0;;;677
114;Gerhard Wagner | Germany;;;;;150;5;;;;;;140;100;;;;;;;78;;;;;200;;;;673
115;Michael Löberbauer | Austria;;250;;120;;;;;;46;150;20;20;;;;;6;5;9;;;;;9;22;;;657
116;Ziyue Du | China;;;;;;;;;;;;;;5;;;;;;;550;;;;;;;100;655
117;Christian Forstner | Austria;;;;;;;;;;0;9;100;;;;;;130;0;0;;;130;;270;4;;;643
118;Gabriel Pop | Romania;;;;13;;;;;;;320;;;;;;;;;;;;110;180;;;;;623
119;Oleg Fomin | Belarus;;620;;;;;;;;;;;;;;;;;;;;;;;;;;;620
120;Ilia Pozdniakov | Belarus;;620;;;;;;;;;;;;;;;;;;;;;;;;;;;620
121;Radim Bednář | Czech Republic;;;;;;;;;;;;;320;;;;;10;180;8;;;20;;;80;;;618
122;Davide Girelli | Italy;160;;;;;;;;;9;120;87;75;;;;;;;;;;;;160;;;;611
123;Timo Toivonen | Finland;;;;0;;;;;;;;;;;;;;37;;;550;;8;;;;;;595
124;Dongfang Pang | China;;;;;;;;;;;;;;;;;;;;;;;;;;;390;200;590
125;Dmitry Yaryy | Russia;150;440;;;;;;;;;;;;;;;;;;;;;;;;;;;590
126;Milan Svetozarević | Serbia;;;100;45;;;104;110;55;;;;;14;;40;;;;;60;;4;14;40;;;;586
127;Rashed Al Marri | Qatar;;;71;;;;;;;;15;500;;;;;;;;;;;;;;;;;586
128;Aron Dulisch | Germany;;;;;;;;;;;8;0;5;;;;;6;120;66;;;50;;110;220;;;585
129;Jose Vincente Martinez Cano | Espana;75;;;;;;;;;;;;;;;;;;;;;;;;;;;500;575
130;Stephan Lehner | Switzerland;;;;;;;;;;;40;10;45;;;;;170;;0;;;67;180;40;15;;;567
131;Željko Žrvnar | Croatia;;;;9;;;80;;;;;;;;;104;130;;;;11;220;;;;;;;554
132;Mohammad Al Blooshi | UAE;190;;;0;;85;;;;;;;32;;140;;85;4;;0;;;;;;;;;536
133;Slobodan Terzić | Serbia;;;160;0;;;160;;8;;;40;;1;;102;;5;;1;0;;9;;40;9;;;535
134;Claude Morel | France;80;;;;;1;;;;;180;0;8;;;;;0;;20;;;130;;89;22;;;530
135;Aleksei Bykov | Russia;340;180;;;;;;;;;;;;;;;;;;;;;;;;;;;520
136;Eric Simonin | France;;;;;32;3;;;;;15;370;32;;13;;;6;0;1;;;30;;8;5;;;515
137;Kamil Wójciak | Poland;;;;;47;;270;52;;;;;;;;129;;0;;;9;;;;;;;;507
138;Alderic Vastel | France;;;;;;;;;;;;;;;;;;;;0;3;;130;210;160;;;;503
139;Anton Gurinovich | Belarus;;500;;;;;;;;;;;;;;;;;;;;;;;;;;;500
140;Lukasz Zajchowski | Poland;;;;;;;;95;;;9;;;;;60;;0;;;;;220;;110;;;;494
141;Freddy Zbinden | Switzerland;1;190;;;8;2;;;7;;9;8;0;0;3;;40;24;22;20;4;69;50;;15;0;;20;492
142;Vincenzo Solito | Italy;;;;;9;;;;;3;250;0;;;;;;6;180;30;;;;;5;0;;;483
143;Csok Levente | Romania;;;100;150;;;;;33;;;;;10;;;;;;0;190;;;;;;;;483
144;Till Vogt | Switzerland;;;;290;;;;;;;0;;32;;;;;150;;;;;;;;9;;;481
145;Edgaras Danilaitis | Lithuania;;40;;150;9;;;;9;;;;;3;;;;;;;24;;90;150;;;;;475
146;Aleksandar Cvetković | Serbia;0;;115;;;9;80;89;;;15;;0;;;80;;37;;10;;;;;40;0;;;475
147;Andrija Kovačević | Croatia;;;;;;;;;;;;;;;;102;;;;;;130;69;150;;;;;451
148;Filippo Lazzeri | Italy;;;;;90;;;;;0;320;0;0;;;;;2;28;;;;;;9;;;;449
149;Stevan Miletić | Serbia;;;60;;;;;;;;;;;;;230;;;;;110;;9;39;0;;;;448
150;Francois Barriot | France;;;;;;70;;;;;40;140;10;;;;;0;;150;;;;;5;2;;;417
151;Siniša Vujaković | Austria;;;210;;;7;;;;;;;0;;;80;40;0;0;15;;57;0;;6;0;;;415
152;Bruno Lautard | France;;;;;85;;;;;;3;0;;;;;;0;0;190;;;30;;7;100;;;415
153;Eric Coltat | France;;;;;;;;;;;10;;;;;;;180;180;;;;40;;;0;;;410
154;Gediminas Jankauskas | Lithuania;;130;;17;;;;;;;;;;;;;;;;;75;;50;130;;;;;402
155;Goran Stojanović | Serbia;;;30;;;56;40;15;7;;69;;20;1;;80;;37;;15;;;;;;30;;;400
156;Tiberiu Bogdan Sava | Romania;;;;0;;;;;140;;;;;110;;;;;;66;0;;2;11;64;;;;393
157;Matevž Cestnik | Slovenia;;;;;;;70;;;;20;;;;;300;;;;;;;;;;0;;;390
158;Sathan Mahinda | France;;;;0;;;;;33;;;;;10;;;;;;66;18;;50;130;77;;;;384
159;Suhail Ali Al Naqbi | UAE;120;;;;;0;;;;0;40;0;10;;54;;64;4;;90;;;;;;;;;382
160;Wiktor Król | Poland;;;;;;;215;;55;;;;;14;;50;;10;1;;0;;20;;2;11;;;378
161;Thomas Saurer | Switzerland;;74;;;9;110;;;;;1;100;3;;;;;0;60;0;2;;0;;4;7;;;370
162;Hansjörg Terzer | Italy;;;130;;5;;104;;;0;1;;;;;40;;0;90;;;;;;;0;;;370
163;Asad Mohamed | UAE;;;;;;;;;;;;;;;340;;;;;;24;;;;;;;;364
164;Domschy Zoltan Arpad | Romania;;;;17;;;;;69;;180;;;29;;;;;;;0;;4;9;52;;;;360
165;Jean Yves Bouillaud | France;;;;;;5;;;;;0;0;75;;;;;8;180;;;;6;;;80;;;354
166;Christian Frei | Switzerland;;108;;;3;23;;;;;9;0;0;;;;;90;0;20;0;;100;;;;;;353
167;Ehab Mahmoud | USA;130;;;220;;;;;;;;;;;;;;;;;;;;;;;;;350
168;Miroljub Janičijević | Serbia;;;340;0;;;;;;;;;;;;;;;;;;;;;;;;;340
169;Gianluca Rizzati | Italy;;;;;20;;;;;;;140;;;;100;;24;;0;;;;;52;0;;;336
170;Dmitry Kirshenkov | Belarus;;330;;;;;;;;;;;;;;;;;;;;;;;;;;;330
171;Alabalooshi Assad Mohamed | UAE;;330;;;;;;;;;;;;;;;;;;;;;;;;;;;330
172;Fahad Al Marri | Qatar;;;;;;;;;;;;;;;;;;;0;;;6;40;;0;0;202;77;325
173;Ruslan Tsitou | Belarus;;320;;;;;;;;;;;;;;;;;;;;;;;;;;;320
174;Jörg Gramberg | Germany;80;;;;;;;;;;;;160;;27;;;;;;;;;;52;;;;319
