;Gender;M
;Season;(Višestruke stavke)
;FAI rank;(Višestruke stavke)
;FAI Licence Validation;(Višestruke stavke)

;WALAR score points;Competitions
;Competitor;2021 Dubai IPC;2021 WPC;2022 EEAC BiH;2022 WPC;2023 Dolomiti Cup;2023 Dubai IPC;2023 EEAC BiH;2023 EEAC Bulgaria;2023 EPC;2023 NC Austria;2023 SWCS Austria;2023 SWCS Italy;2023 SWCS UAE;2023 World Cup;2024 Dubai IPC;2024 EEAC BiH;2024 Poreč IPC;2024 SWCS Austria;2024 SWCS Czech R.;2024 SWCS Italy;2024 WPC;2025 Poreč IPC;2025 SWCS Czech R.;2025 EPC;2025 SWCS Italy;2025 SWCS Austria;2025 Asian PC;2025 World Cup;Total
233;David Crowhurst | Great Britain;0;;;0;;;;;80;;;;;40;;;;;;;47;;;;;;;;167
234;Tanfu Shi | China;;;;;;;;;;;;;;;;;;;;;;;;;;;150;15;165
235;Siniša Živko | Croatia;;;40;0;;;50;;;;;;;;;;50;;;;;10;5;9;;;;;164
236;Srđan Nešić | BiH;;;50;;;;60;;;;30;;;;;20;;0;;;;;;;;;;;160
237;Chao Cheng | China;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;150
238;Khalifa Esaa Altaheri | UAE;;;;;;;;;;;;;;;;;;;;;150;;;;;;;;150
239;Oreste Zambarda | Italy;;;;;15;;;;;;;61;;;;;;15;;40;;;;;10;5;;;146
240;Lukas Wehren | Switzerland;;;;;;;;;;;30;20;;;;;;7;4;78;;;;;;7;;;146
241;Boris Janžekovič | Slovenia;;;;;;;129;;;;1;0;;;;15;;;;;;;;;;;;;145
242;Fehaid Mohd | Qatar;;;;;0;;;;;;0;0;;;;;15;0;;0;;20;0;;8;60;;40;143
243;Tibor Kéri | Hungary;;;;;;;;;;;;9;;;80;;;10;0;10;;33;;;;;;;142
244;Zoran Kovačević | BiH;;;20;;;;70;;;;;;;;;50;;0;;;;;;;;0;;;140
245;Matthias Isler | Switzerland;;;;;;;;;;;;4;;;;;;;7;9;;;30;70;5;15;;;140
246;Almarri Ahmed Rashed | UAE;;;;;;;;;;;;;;;140;;;;;;;;;;;;;;140
247;Anton Gruber | Austria;;;;;;;;;;5;9;;45;;;;;0;;;;;50;;;30;;;139
248;Assad Al Bardan | UAE;;;;7;;;;;;;;;;;;;;;;;;130;;;;;;;137
249;Albalooshi Essa Ibrahim | UAE;;135;;;;;;;;;;;;;;;;;;;;;;;;;;;135
250;Ivan Garcia-Estrada Mateo | Espana;;;;4;;5;;;;;;0;;;;;;;;78;47;;;;;;;;134
251;Jakob Kraus | Switzerland;;;;;;0;;;10;;120;;0;4;;;;;0;;;;;;0;;;;134
252;Siniša Vujaković | BiH;;;;;;;92;30;;0;10;0;;;;;;;;;;;;;;;;;132
253;Ardya Rifiantara | Qatar;;;;;;;;;;;;;;;;;;;;;;;;;;;120;10;130
254;Nandor Buzas | Hungary;;;;;;;;;;;;;;;80;;;;;;;;50;;0;;;;130
255;Abdulhadi Al Abidi | Qatar;;;;;;;;;;;;;;;;;;;;;;;;;;;120;9;129
256;Ahmad Alhosani | UAE;0;;;;;3;;;;0;30;0;0;;;;80;8;;8;;;;;;;;;129
257;Mohammad Ibrohim | Indonesia;;;;;;;;;;;;;;;;;;;;;;;;;;;120;6;126
258;Telmen Bold | Mongolia;;;;;;;;;;;;;;;;;;;;;;;;;;;120;6;126
259;Christian Auswöger | Austria;;;;;;;;;;90;15;;;;;;;15;2;;;;;;;;;;122
260;Reinhard Demmler | Germany;;;;;;;;;;;120;;;;;;;0;;;;;;;;0;;;120
261;Aleksander Čuš | Slovenia;;;;;;;;;;;120;0;;;;;;;;;;;;;;;;;120
262;Damir Boban | Canada;0;;30;;;0;60;;;;;;;;7;;20;;;;0;;;;0;;;;117
263;Jose Carlos Gonzalez Herrera | Espana;0;;;0;;90;;;;;;;;;;;;;;0;18;;3;5;;;;;116
264;Valentin Huhs | Austria;;;;;;;30;;;0;30;5;;;;;;0;;40;;;0;;8;2;;;115
265;Zsolt Gere | Hungary;;;15;;;;;;;;;;;;;40;;;;;;57;0;;0;;;;112
266;Saif Matar | UAE;;;;;;50;;;;;8;50;3;;;;;;;;;;;;;;;;111
267;Kristopher Hayhurst | USA;;;;;;;;;;;;;;;;;;1;;;110;;;;0;;;;111
268;Cezar Bucevschi | Canada;3;;;0;;48;;;;;;;;;;;;;;;60;;;;;;;;111
269;Anatolie Seiz | Moldova;;;;;;16;30;15;;;;;;;;50;;;;;;;;;;;;;111
270;Darko Kačavenda | Serbia;;;50;;;;;;;;;;;;;60;;;;;;;;;;;;;110
271;Marco Valente | Italy;;;;;20;;;;;;55;;;;;;;5;0;;;;30;;;0;;;110
272;Batsaikhan Bold | Mongolia;;;;;;;;;;;;;;;;;;;;;;;;;;;100;5;105
273;Zagar Tsend | Mongolia;;;;;;;;;;;;;;;;;;;;;;;;;;;100;5;105
274;Purevsuren Bat | Mongolia;;;;;;;;;;;;;;;;;;;;;;;;;;;100;4;104
275;Yadambat Serggelen | Mongolia;;;;;;;;;;;;;;;;;;;;;;;;;;;100;4;104
276;Nemanja Gavrić | BiH;;;60;;;;;;;;40;;;;;;;3;;;;;;;;;;;103
277;Michele Vallarino | Italy;;;;;;;;;;;;;;;;;;9;5;0;;;;;89;0;;;103
278;Janos Leszko | Great Britain;0;;;;;55;;;;;;;1;;39;;;;;;0;;0;0;;;;8;103
279;Thomas Reisenbichler | Austria;;;;;;;;;;19;69;9;;;;;;5;;;;;;;;;;;102
280;Altaheri Khalifa Essa | UAE;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;100
281;Igor Žmirić | Serbia;;;;;;;30;;;;;;;;;70;;;;;;;;;;;;;100
282;Raymond Laffaille | France;;;;;;;;;;;30;;;;;;;9;;;;;;;;60;;;99
283;Zlatko Ugrin | Croatia;;;;0;;;;;;;;;;;;;94;;;;;;;;;;;;94
284;Tiago Pereira | Portugal;;;;0;;;;;6;;;;;0;;;;0;0;15;2;;20;50;0;0;;;93
285;Ali Almatawa | UAE;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;90
286;Ahmed Makally | Bahrein;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;90
287;Reinhold Haibel | Germany;;;;;;;;;;;;;;;;;;;5;;;;62;;20;;;;87
288;Božidar Marić | Croatia;;;;;47;;40;;;;;0;;;;;;;;;;;;;;;;;87
289;Sascha Madritch | Austria;;;;;;;;;;;;;;;;;;;;;;85;;;;;;;85
290;Giorgio Squadrone | Italy;;;;;85;;;;;;;;;;;;;;;;;;;;;;;;85
291;Alexandru Oanea Adrian | Romania;;;84;1;;;;;;;;;;;;;;;;;;;;;;;;;85
292;Jozsef Pula | Hungary;;;20;;;;20;20;;;;;;;0;20;;;;;;4;;;0;;;;84
293;Petko Kirkov | Bulgaria;1;;;;;;;75;;;;0;;;;;;;;7;;;;;;;;;83
294;Kestutis Macilius | USA;;;;;;7;;;;;10;0;57;;;;;9;0;0;;;;;;;;;83
295;Timoty Stevens | Australia;;;;;;0;;;;;;;;;;;;;;;;;;;;;;81;81
296;Oscar Marsal Hernandez | Espana;;;;;;;;;;;;;;;;;;;;15;0;;0;0;;;;65;80
297;Ahmad Almarri | UAE;;;;;;;;;;;;;;;;;;;;;;;;;;;;79;79
298;Lichovski Stefan | Bulgaria;;;;;;;;78;;;;;;;;;;;;;;;;;;;;;78
299;Guangping Zhang | China;;;;;;;;;;;;;;;;;;;;;;;;;;;;77;77
300;Ehab Mahmoud | Egypt;;;;;;;;;;;;;;;;;;;;;;;;;77;;;;77
301;Erik Hougaard Sørensen | Denmark;;;;0;;;;;;;;;;;;;;0;;;75;;1;;0;0;;;76
302;Lukas Kucinskas | Lithuania;;;;;;;;;15;;15;;;5;;;;;;;;;40;;;;;;75
303;Ahmed Almarri | UAE;;;;;;;;;;;;73;;;;;;;;;;;;;;;;;73
304;Marco Pflüger | Germany;;;;;;;;;;;10;;0;;;;;;;;;;63;;;0;;;73
305;Pal Krajcsi | Hungary;;;;;;;;;;;;;;;;;;;;;;70;;;0;;;;70
306;Zdravko Lakić | Montenegro;;;;;;;;;;;;;;;;70;;;;;;;;;;;;;70
307;József Csorba | Hungary;;;8;;;;20;;;;;;;;;40;;;;;;;;;;;;;68
308;Ahmed Almeri | UAE;;;;;;;;;;;;;;;;;68;;;;;;;;;;;;68
309;Béla Mórocz | Hungary;;;40;;;;;;;;;;;;;20;;;;;;7;;;;;;;67
310;Martin Søeby Mikkelsen | Denmark;;;;7;;;;;;;;;;;;;;49;;;9;;;;;;;;65
311;Igor Primc | Slovenia;;;;60;;;;;;;;5;;;;;;;;;;;;;;;;;65
312;Essa Ibrahim | UAE;;;;;;;;;;;55;9;;;;;;;;;;;;;;;;;64
313;Roland Olenyik | Poland;;;;;;;;;;;;;;;39;;;;;;;;7;;15;2;;;63
314;Mohammed Al Kuwari  | Qatar;;;;0;47;;;;;;15;0;;;;;;;;;;;;;;;;;62
315;Saif Matar Abdulla | UAE;12;;;;;;;;;;;;;;;;50;;;;;;;;;;;;62
316;Mladen Mirković | Poland;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;60
317;Anton Boiarshinov | Russia;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;60
318;Lubomir Fujdiar | Slovakia;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;60
319;Marius Weber | Germany;;;;;5;;;;;;;;;;;;;;;3;;;;;52;;;;60
320;Heinz Empl | Austria;;;;;6;;;;;0;9;1;;;;;;0;0;0;;;40;;4;0;;;60
321;Tino Milanović | Croatia;0;;7;;1;0;20;;;;;;;;;;30;;;;;;;;;;;;58
322;Nikola Spasić | Serbia;;;7;;;;30;;;;;;;;;20;;;;;;;;;;;;;57
323;Ahmed Al Sinani | Oman;;;;;;;;;;;;;;;;;;;;;;57;;;;;;;57
324;Khalifa Altameri | UAE;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;56
325;Andrzej Nalepa | Poland;0;;;;7;;;;;;15;0;;;;;;1;0;3;;;20;;9;0;;;55
326;Oscar Garcia Garcia | Espana;;;;;;;;;;;;;;;;;;;;;;;15;39;;;;;54
327;Wolfgang Wochner-Reithmayr | Austria;;;;;;;;;;2;;;;;;;;;;;;;50;;;;;;52
328;Iacob Dorel | Romania;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;52
329;Tibor Glesk | Australia;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;51
330;Khalifa Al Taheri | UAE;;;;;;;;;;;;;;;;;51;;;;;;;;;;;;51
331;Milan Radojčin | Serbia;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;50
332;Saeed Alblooshi | UAE;;;;;;;;;;;;;;;;;40;;;;;;;;;;;10;50
333;Stanislav Panchenko | Russia;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;50
334;Alessandro Di Prisco | Italy;;;;;;;;;;;;;;;;;;;;10;;;;;40;;;;50
335;Igor Vidovič | Slovenia;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;50
336;Axente Cosmin | Romania;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;50
337;Georg Heimel | Austria;;;;;;;;;;4;;;;;;;;24;21;;;;;;;;;;49
338;Roko Erceg | Croatia;;;7;0;;;15;;;;;;;;;;20;;;;;6;;;;;;;48
339;Tibor Kiss | Hungary;;;;;;;8;;;;;;;;;40;;;;;;;;;;;;;48
340;Loic Lubin | France;;;;;;16;;;;;;;32;;;;;;;;;;;;;;;;48
341;René Grit | Netherlands;;;;0;;;;;;;;0;;;3;;;;29;3;;;1;5;6;;;;47
342;Saleh Al Ma'Mari | Oman;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;45
343;Keith Bergeron | USA;;;;5;;;;;;;;;;;;;;;;;;;;;40;;;;45
344;Albalooshi Hassan Khurshid | UAE;;;;;;;;;;;;;;;45;;;;;;;;;;;;;;45
345;Jim Patterson | Canada;;;;45;;0;;;;;;;;;;;;;;;;;;;;;;;45
346;Juan Jose Moreno Castaño | Espana;;;;;;;;;;;;;;;45;;;;;;;;;;;;;;45
347;Stipe Jović | Croatia;;;;;3;;40;;;;1;0;;;;;;;;;;;;;;;;;44
348;Moosa Al Siyabi | Oman;;;;;;;;;;;;;;;;;;;;;;44;;;;;;;44
349;Riteș Mihnea | Romania;;;;;;;;;;;;;;;;;;;;;0;;20;5;15;;;;40
350;Milton Bendt | Denmark;;;;;;;;;;;;;;;;;;;;;;;0;;40;0;;;40
351;Eduard Bischoff | Germany;;;;;0;;;;;;0;40;;;;;;0;0;;;;;;;;;;40
352;Danijel Miletić | Serbia;;;;;;;;;;;;;;;;40;;;;;;;0;0;;0;;;40
353;Gere Zsolt | Hungary;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;40
354;Marko Žuljević | Croatia;;;;;;;;;;;;;;;;;30;;;;;9;;;;;;;39
355;Venancio Guevara | USA;0;;;;;35;;;;;;;0;;;;;4;;0;0;;;;;;;;39
356;Janis Brügger | Switzerland;;;;;;;;;;;30;;0;;;;;;0;;;;9;;;;;;39
357;Zoran Končar | Serbia;;;20;;;;9;;;;;;;;;9;;;;;;;;;;;;;38
358;Damir Suton | Croatia;;;9;;0;;10;;;;;0;;;;10;9;;;0;;;;;0;;;;38
359;Alexander Scopf | Austria;;;;;;;;;;;;;;;;;30;;;;;7;;;;;;;37
360;Jurica Labrović | Croatia;;;;;;0;8;;;;;;;;;8;20;;;;;;;;;;;;36
361;Nebojša Ilić | Croatia;;;;0;;;;;;;;;;;;;;;;15;0;20;;;;;;;35
362;Walter Samojlik | USA;0;;;;;34;;;;;;0;;;;;;;0;0;;;0;;;;;;34
363;Corrado di Pietro | Italy;;;;;33;;;;;;;;;;;;;;;0;;;;;0;0;;;33
364;Claudio Borin | Italy;;;;;0;;;;;;30;2;;;;;;0;;0;;;;;;;;;32
365;Stefan Živković | Serbia;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;30
366;Matczuk Zbigneiw | Poland;0;;30;;;;;;;;;0;;;;;;;;;;;;;;;;;30
367;Khalil Al Shammari | Qatar;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;30
368;Andrey Savin | Russia;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;30
369;Daniel Zanetti | Switzerland;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;30
370;Peter Platko | Slovakia;;;;;;;;;;;;;;;;;;;29;;;;;;;;;;29
371;Dino Vučković | Croatia;;;;;;;6;;;;;;;;;;15;;;;;8;0;0;;;;;29
372;Karlo Kovač | Croatia;;;;;;;;;;;;;;;;;9;;;;;20;;;;;;;29
373;Jaka Kofol | Slovenia;;;;;;;;;;;15;7;7;;;;;;;;;;;;;;;;29
374;Hranislav Micić | Serbia;;;15;;;;10;;;;;;;;;;;;;;;;;;;;;;25
375;Ivan Đaković | Croatia;;;;;0;;15;;;;0;;;;;;8;;;;;;;;;;;;23
376;Jan Bečka | Czech Republic;;;;;;;;;;;0;0;15;;;;;0;0;0;;;;;8;0;;;23
377;Petr Klečka | Czech Republic;;;;;;;;;;;;;;;;;;;6;;;;9;;0;7;;;22
378;Guillermo Marturell | USA;;;;;;22;;;;;;;;;;;;;;0;;;;;;;;;22
379;Mladen Marković | Montenegro;;;;;;;;6;;;;;;;;15;;;;;;;;;;;;;21
380;Edward Wejksznia | Poland;0;;;;2;;;;;;0;0;;;;;;0;0;0;;;9;;10;0;;;21
381;Veselin Alić | BiH;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;20
382;Ali Al Yafei | Qatar;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;20
383;Peter Bendt | Sweeden;;20;;0;;;;;;;;;;;;;;;;;;;;;;;;;20
384;Samuel Martinez Perez | Espana;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;20
385;Paul Paier | Austria;;;;;;;20;;;0;0;;;;;;;0;;;;;;;;0;;;20
386;Venancio Guiavara | USA;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;20
387;Andreas Fischer | Germany;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;20
388;Jonas Kammer | Germany;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;20
389;Jurica Jagnjić | Croatia;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;20
390;Joshua Kalbermatter | Switzerland;;;;;;;;;;;15;0;;;;;;;0;0;;;5;;;;;;20
391;Dumitru Streza | Canada;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;19
392;Abdulla Saeed Hussain | UAE;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;19
393;Maciulis Kestutis | Lithuania;16;;;;;;;;;;;;;;;;;;;;;;2;;0;0;;;18
394;Christophe Danjou | France;;;;;;;;;;;;;;;;;;;;;;;4;14;;;;;18
395;Ton de Kuijer | Netherlands;;;;;0;;;;;;8;;;;;;;;0;;;;9;;;;;;17
396;Gerd Brandecker | Germany;0;;;;1;8;;;;;0;0;0;;8;;;;;0;;;;;0;;;;17
397;Pascal Ghriss | France;;;;;;;;;;;;;;;;;;1;;10;;;;;5;0;;;16
398;Saeed Hussain Abdulla | UAE;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;15
399;Raed Al Kurbi | Qatar;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;15
400;Walter Ori | Italy;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;15
401;Jonathan Bara | Austria;;;;;;;;;;0;;;;;;;;;;;;15;;;;0;;;15
402;Levente Soczó | Hungary;;;;;;;;;;;;;;;;10;;;;;;5;;;;;;;15
403;Leslaw Sass | Poland;;;15;;;;;;;;;;;;;;;;0;;;;0;;;;;;15
404;Essa Al Balooshi | UAE;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;15
405;Dražen Pezer | Croatia;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;15
406;Jasim Almansoori | Bahrein;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;15
407;Marino Radešić | Croatia;;;;;0;0;;;;;5;0;;;;;;;;0;;9;;;1;;;;15
408;Colin Merk | Switzerland;;;;;;;;;;;;;;;;;;;;7;;;;;7;;;;14
409;Stefan Stanojević | Serbia;;;6;;;;7;;;;;;;;;;;;;;;;;;;;;;13
410;Michael Petersen | Denmark;;;;;0;;;;;;;7;;;;;;;;6;;;;;;;;;13
411;Rafał Urbaniak | Poland;;;10;;;;;2;;;;;;;;;;;;;;;0;;;0;;;12
412;Balázs Barkóczi | Hungary;;;5;;;;7;;;;;;;;;;;;;;;;;;;;;;12
413;Maksim Shnurov | Russia;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
414;Kevin Wagner | Austria;;;;;;;;;;0;2;;;;;;;10;;;;;;;0;0;;;12
415;Michael Dyer | Australia;;;;4;;;;;;;;;;;;;;0;;0;;;0;;0;0;;7;11
416;Michael Bartosch | Austria;;;;;;;;;;11;0;;;;;;;0;;;;;;;;;;;11
417;Dušan Petrušić | BiH;;;4;;;;;;;;;;;;;7;;;;;;;;;;;;;11
418;Robert Krawczak | Poland;;;;;;;;;;;;;;;;;;;0;;;;10;;;;;;10
419;Martin Koller | Austria;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;10
420;Peter Sizer | Great Britain;0;;;0;;;;;8;;;;;2;;;;;;;;;;;;;;;10
421;Petru Horduna | Romania;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;10
422;Zsolt Budai | Hungary;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;10
423;Martin Kumžák | Czech Republic;;;;;;;;;;;;;;;;;;;0;;;;10;;;;;;10
424;Bernhard Wansch | Austria;;;;;;;9;;;;1;;;;;;;;;;;;;;;;;;10
425;Jarno Goosmann | Netherlands;;;;;;;;;;;;3;;;;;;;;0;;;;;7;;;;10
426;Mohamed Ibrahim | Indonesia;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;9
427;Andrew Mulholland | Australia;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;9
428;Pavle Gantar | Serbia;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;9
429;Iulian Ivanov | Moldova;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;9
430;Jernej Forštnarič | Slovenia;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;9
431;Marko Veselič | Slovenia;;;;;;;;;;;9;0;;;;;;;;;;;;;;0;;;9
432;Mossa Jassem | Austria;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;8
433;Sergey Zholdin | Kazahstan;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;8
434;Wolfgang Riechmann | Germany;;;;;8;;;;;;;0;;;;;;;;;;;;;;;;;8
435;Saleh Al Korbi | Qatar;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;8
436;Zdenek Hanak | Czech Republic;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;8
437;Zbigniew Matczuk | Poland;;;;;;;;;;;;;;;;;;;;2;;;6;;;0;;;8
438;Steven Hastings | Great Britain;8;;;0;;;;;;;;;;;;;;;;;;;;;;;;;8
439;Isaac Fernandez Garcia | Espana;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;8
440;Dimitar Georgiev | Bulgaria;;;;;;;;8;;;;0;;;;;;;;;;;;;;;;;8
441;Marek Nový | Czech Republic;;;;;;;;;;;8;;0;;;;;0;;0;;;;;;;;;8
442;Ahmed Alhousani | UAE;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;8
443;Augustas Saldukaitis | Lithuania;;;;;;;;;;;;;;;;;;;;;0;;3;5;0;;;;8
444;Marko Zlatković | Serbia;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;8
445;Hassan Al Blooshi | UAE;;;;;;6;;;;;;;2;;;;;;;;;;;;;;;;8
446;Aleksandar Gajić | BiH;;;8;;;;;;;;0;;;;;;;0;;;;;;;;;;;8
447;Karel Korbel | Czech Republic;;;;;;;;;;;;;;;;;;;0;;;;8;;;;;;8
448;Attila Milanko | Austria;;;;;;;;;;0;;;;;;;8;0;;;;;;;;;;;8
449;Serghei Cucias | Moldova;;;;;;0;5;2;;;;;;;;;;;;;;;;;;;;;7
450;Miloš Dragojević | Montenegro;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;7
451;Bo Guan | China;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7
452;Veselin Alić | Croatia;;;;;;;;;;;;;;;;7;;;;0;;;;;;;;;7
453;Deyan Karakashev | Bulgaria;;;;;;;;7;;;;;;;;;;;;0;;;;;;;;;7
454;Dimitar Kolev | Bulgaria;;;;;;;;2;;;;;;;5;;;;;;0;;;;;;;;7
455;Mark Verstappen | Netherlands;;;;;;;;;;;;0;;;0;;;;;0;;;7;;0;;;;7
456;Nikola Maleš | Croatia;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;6
457;Zoran Vujošević | Montenegro;;;;;;;;;;;;;;;0;6;;;;;;;;;;;;;6
458;Pal Salbot | Hungary;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;6
459;Tamas Szasz | Hungary;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;6
460;Paulo Abreu | Portugal;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;6
461;Oskar Marshal Hernandez | Espana;5;;;1;;;;;;;;;;;;;;;;;;;;;;;;;6
462;Andre Meijer | Netherlands;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;6
463;Mantas Barzdaitis | Lithuania;;;;;;;;;;;0;;;;;;;;;1;;;5;;;;;;6
464;Isac Fernandez Garcia | Espana;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;6
465;Abdulah Saleh | NEPOZNATO;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
466;Josef Auernigg | Austria;;;;;;;;;;6;;;;;;;;;;;;;;;;0;;;6
467;Antonio Nogueira | Portugal;;;;0;;;;;;;;;;;;;;;;;0;;4;2;;;;;6
468;Oazu Nantoi | Moldova;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;5
469;Paulo Lima | Portugal;;;;0;;;;;5;;;;;0;;;;;;;;;0;0;;;;;5
470;William Ori | Italy;;;;;;;;;;;0;;;;;;;;0;5;;;;;;;;;5
471;Luciano Aguzzoli | Italy;;;;;0;;;;;;;;;;;;;;;0;;5;;;0;;;;5
472;Levente Mach | Hungary;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;5
473;Daniel Polec | Austria;;;;;;;5;;;0;;;;;;;;;;;;;;;;;;;5
474;Fernando Conil | Argentina;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;5
475;Teodor Toshev | Bulgaria;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;4
476;Richard Bissett | Great Britain;;;;;;;;;4;;;;;0;;;;;;;;;;;;;;;4
477;Simon Basso | France;;;;;;;;;;;4;0;;;;;;;;;;;0;;0;0;;;4
478;Sergio Dalcol | Argentina;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;4
479;Thomas Demmling | Germany;;;;;;;;;;;;;;;;;;0;0;;;;4;;;0;;;4
480;Kallan Fitzclarence | Autralia;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4
481;Paulo Nogueira | Portugal;;;;;;;;;4;;;;;0;;;;;;;;;;;;;;;4
482;Peter Bendt | Denmark;;;;;4;0;;;;;;;;;;;;0;;0;;;;;;;;;4
483;Gyorgy Peresztegi Nagy | Hungary;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;4
484;Ibrahim Kalesić | BiH;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;4
485;Muhamed Asad | UAE;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;3
486;Ricardo Gurreiro | Portugal;;;;;;;;;3;;;;;0;;;;;;;;;;;;;;;3
487;Reijo Hirvonen | Finland;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;3
488;Tony Simpson | Great Britain;;;;0;;;;;3;;;;;0;;;;;;;0;;;;;;;;3
489;Mathias Oppi | Germany;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;3
490;Piotr Dziergas | Poland;0;;;;;;;;;;;;;;;;;;;;;;3;;0;;;;3
491;Marcelino Gutierrez | Argentina;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;3
492;Krzysztof Kozubek | Poland;;;;;;;;;;;;;;;;;;3;0;;;;0;;;;;;3
493;Anton Marinov | Bulgaria;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;3
494;Saeed Hussain Albaloshi | UAE;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
495;Miroslav Musil | Germany;;;;;;;;;;;;;;;;;;;0;;;;2;;;;;;2
496;Raoul Van Dorssen | 0;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2
497;Thomas Demling | Germany;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;2
498;Stefan Dimitrov | Bulgaria;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
499;Ivan Paytakov | Bulgaria;;;;;;;;2;;;;;;;0;;;;;;0;;;;;;;;2
500;Lalo Borimechkov | Bulgaria;;;;;;;;2;;;;;;;0;;;;;;0;;;;;;;;2
501;Abdulrahman Al Adba | Qatar;;;;;0;;;;;;2;0;;0;;;;;;;;;;;;;;;2
502;Antionie Eugene | France;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;2
503;Eduard Timbalist | Moldova;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
504;Marco Vitali | Italy;;;;;2;;;;;;;0;;;;;;;;0;;;;;0;;;;2
505;Gilson Silva | Brasil;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2
506;Rob Schouren | Netherlands;;;;;;;;;;;;1;;;;;;;;0;;;;;0;;;;1
507;Ricardo Gierreiro | Portugal;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
